Macrotrends Data Download,
2006-01-03,3.4600
2006-01-04,3.4625
2006-01-05,3.3975
2006-01-06,3.3075
2006-01-09,3.2650
2006-01-10,3.2925
2006-01-11,3.3050
2006-01-12,3.3325
2006-01-13,3.3475
2006-01-17,3.2875
2006-01-18,3.2250
2006-01-19,3.2650
2006-01-20,3.2650
2006-01-23,3.2600
2006-01-24,3.3250
2006-01-25,3.4200
2006-01-26,3.4450
2006-01-27,3.4350
2006-01-30,3.4525
2006-01-31,3.4325
2006-02-01,3.3925
2006-02-02,3.4725
2006-02-03,3.5650
2006-02-06,3.5500
2006-02-07,3.5175
2006-02-08,3.5675
2006-02-09,3.6325
2006-02-10,3.5525
2006-02-13,3.4800
2006-02-14,3.4725
2006-02-15,3.5200
2006-02-16,3.5900
2006-02-17,3.6800
2006-02-21,3.7250
2006-02-22,3.6550
2006-02-23,3.6850
2006-02-24,3.7295
2006-02-27,3.8075
2006-02-28,3.7885
2006-03-01,3.7400
2006-03-02,3.8050
2006-03-03,3.8500
2006-03-06,3.8000
2006-03-07,3.8100
2006-03-08,3.8450
2006-03-09,3.8100
2006-03-10,3.8150
2006-03-13,3.6750
2006-03-14,3.6250
2006-03-15,3.6200
2006-03-16,3.5275
2006-03-17,3.5750
2006-03-20,3.5025
2006-03-21,3.5250
2006-03-22,3.4925
2006-03-23,3.4400
2006-03-24,3.4250
2006-03-27,3.3975
2006-03-28,3.4125
2006-03-29,3.4175
2006-03-30,3.4450
2006-03-31,3.4775
2006-04-03,3.4200
2006-04-04,3.4275
2006-04-05,3.4700
2006-04-06,3.5250
2006-04-07,3.5125
2006-04-10,3.6100
2006-04-11,3.6750
2006-04-12,3.6050
2006-04-13,3.5750
2006-04-17,3.4950
2006-04-18,3.5500
2006-04-19,3.5475
2006-04-20,3.5300
2006-04-21,3.5275
2006-04-24,3.5075
2006-04-25,3.5270
2006-04-26,3.5380
2006-04-27,3.5045
2006-04-28,3.5605
2006-05-01,3.6500
2006-05-02,3.6650
2006-05-03,3.6500
2006-05-04,3.6250
2006-05-05,3.7225
2006-05-08,3.7550
2006-05-09,3.8475
2006-05-10,3.8450
2006-05-11,3.9200
2006-05-12,4.0150
2006-05-15,3.9950
2006-05-16,4.0350
2006-05-17,4.2300
2006-05-18,4.1850
2006-05-19,4.1625
2006-05-22,4.2625
2006-05-23,4.1975
2006-05-24,4.1175
2006-05-25,4.0950
2006-05-26,4.1550
2006-05-30,4.1200
2006-05-31,3.9350
2006-06-01,3.9200
2006-06-02,4.0375
2006-06-05,3.9850
2006-06-06,3.8500
2006-06-07,3.8775
2006-06-08,3.8350
2006-06-09,3.7250
2006-06-12,3.7375
2006-06-13,3.6975
2006-06-14,3.6125
